Genes	cor	pvalue	Diff_group	gene_upper	is_bcell	to_label	adjusted_pvalue
ACTR1A	0.485895238815595	1.21969176541695e-08	Benign_Tumor	ACTR1A	FALSE	FALSE	7.87163690958896e-08
ACTR1B	0.560084448783865	1.63413211936283e-11	Benign_Tumor	ACTR1B	FALSE	FALSE	2.43291964577795e-10
ACTR2	0.214224546110018	0.0173456528745842	Benign_Tumor	ACTR2	FALSE	FALSE	0.0211530033058653
ACTR3	0.386148362277774	1.02795353850676e-05	Benign_Tumor	ACTR3	FALSE	FALSE	2.78357163191893e-05
ACTR3B	0.164109847698739	0.0697084256809842	Benign_Tumor	ACTR3B	FALSE	FALSE	0.077105569509906
ACTR3C	0.359841207637893	4.3532223226592e-05	Benign_Tumor	ACTR3C	FALSE	FALSE	9.87656340774646e-05
ACTR5	0.245802117846469	0.00613609171919934	Benign_Tumor	ACTR5	FALSE	FALSE	0.00819601649739183
ACTR6	0.371070221321341	2.38714760498053e-05	Benign_Tumor	ACTR6	FALSE	FALSE	5.80860150818153e-05
ACTR8	0.32585414205072	0.000235156272138807	Benign_Tumor	ACTR8	FALSE	FALSE	0.000437891740525845
ACVR1	0.231853795019192	0.00986887696404602	Benign_Tumor	ACVR1	FALSE	FALSE	0.0126159925267681
ACVR1B	0.325768297557027	0.000236103183142586	Benign_Tumor	ACVR1B	FALSE	FALSE	0.00043928732032013
ACVR2A	0.227797232073922	0.0112766789327114	Benign_Tumor	ACVR2A	FALSE	FALSE	0.0142414825252708
ACVR2B	0.223860815008274	0.0128081054707876	Benign_Tumor	ACVR2B	FALSE	FALSE	0.0160106458899161
ACVRL1	0.266887619432284	0.00284481297386118	Benign_Tumor	ACVRL1	FALSE	FALSE	0.00407339761327144
ACY1	0.401291571689561	4.22578364845567e-06	Benign_Tumor	ACY1	FALSE	FALSE	1.26749092367874e-05
ACYP1	0.256073700857385	0.00425213153941208	Benign_Tumor	ACYP1	FALSE	FALSE	0.0058641909726589
ACYP2	0.433512741355364	5.48055369153469e-07	Benign_Tumor	ACYP2	FALSE	FALSE	2.12521570314417e-06
ADA	0.364186558621662	3.45928270367343e-05	Benign_Tumor	ADA	FALSE	FALSE	8.05975606587468e-05
ADA2	0.424470904957406	9.93341968091415e-07	Benign_Tumor	ADA2	FALSE	FALSE	3.58916809027555e-06
ADAL	0.192709808766725	0.0327208304977599	Benign_Tumor	ADAL	FALSE	FALSE	0.0379222663795204
ADAM10	0.44867263107797	1.94382586372793e-07	Benign_Tumor	ADAM10	FALSE	FALSE	8.60955636400314e-07
ADAM15	0.43786496480753	4.09084643493816e-07	Benign_Tumor	ADAM15	FALSE	FALSE	1.64489417844802e-06
ADAM17	0.355046610962745	5.58849452040003e-05	Benign_Tumor	ADAM17	FALSE	FALSE	0.000123428769204637
ADAM19	0.367899263621424	2.8349702513027e-05	Benign_Tumor	ADAM19	FALSE	FALSE	6.75887809607118e-05
